1)Время года?;a)sioson;b)season;c)siason;b)season2)Правильная дата?;a)date;b)doate;c)data;a)date3)Простые числа?;a)prime;b)is prame;c)is_prime;c)is_prime4)XOR-шифрование?;a)xor cephir;b)XOR cipher;c)XOR_cipher;c)XOR_copher
5)Какая функция выводить что-либо?;a)print;b)out;c)write;a)print
6)Какая библиотека отвечает за время?;a)clock;b)locatime;c)time;c)time
7)Какие существуют типы переменных?;a)float;b)bool;c)integer;a)float
8)Переменная int?;a)целая переменная;b)логическая переменная;c)символьная строка;a)целая переменная
9)Где правильно создана переменная?;a)var num = 2;b)$num = 2;c)num = float (2);c)num = float (2)
10)PYTHON является?;a)Языком высокого уровня;b)Машинно - ориентированным языком (низкого уровня);c)Объектно - ориентированным языком;a)Языком высокого уровня
11)Область применения PYTHON?;a)Робототехника и искусственный интеллект;b)Обучение;c)Интернет;a)Робототехника и искусственный интеллект
12)Сколько библиотек можно импортировать в один проект?;a)Не более 5;b)Неограниченное количество;c)Не более 23;b)Неограниченное количество
13)Переменная float?;a)целая переменная;b)вещественная переменная;c)логическая переменная;b)вещественная переменная
14)Кто основатель питона?;a)Гвидо ван Россум;b)Линус Торвальдс;c)Дональд Кнут;a)Гвидо ван Россум
15)Год разработки PYTHON?;a)1999;b)1980;c)1985);b)1980
16)Переменная int?;a)символьная строка;b)логическая переменная;c)целая переменная;c)целая переменная
17)Переменная str?;a)логическая переменная;b)символьная строка;c)целая переменная;b)символьная строка
18)список это?;a)list;b)float;c)for;a)list
19)Словарь это?;a)for;b)float;c)dict;c)dict
20)Как получить данные от пользователя?;a)Использовать метод readLine ();b)Использовать метод input ();c)Использовать метод get ();b)Использовать метод input ()